Branch,Customer,Qty,Item,Price
Conut - Tyre,Person_0129,1.0,FULL FAT MILK,0.0
Conut - Tyre,Person_0129,1.0,PISTACHIO MILKSHAKE,893918.92
Conut - Tyre,Person_0129,1.0,WHIPPED CREAM...,0.0
Conut - Tyre,Person_0130,1.0,"CARAMEL SAUCE, (R)",0.0
Conut - Tyre,Person_0130,1.0,CHIMNEY THE ONE,1251486.48
Conut - Tyre,Person_0130,1.0,CLASSIC CHIMNEY,595945.95
Conut - Tyre,Person_0130,1.0,DELIVERY CHARGE,238378.38
Conut - Tyre,Person_0130,1.0,LOTUS SAUCE.,178783.78
Conut - Tyre,Person_0130,1.0,NUTELLA SPREAD CHIMNEY.,0.0
Conut - Tyre,Person_0130,1.0,PRESSED,0.0
Conut - Tyre,Person_0130,1.0,"STRAWBERRY,(R)",0.0
Conut - Tyre,Person_0130,1.0,STRAWBERRY.,178783.78
Conut - Tyre,Person_0130,1.0,WHITE CHOCOLATE SPREAD CHIMNEY.,0.0
Conut - Tyre,Person_0131,1.0,[CHOCOLATE DRESSING],0.0
Conut - Tyre,Person_0131,1.0,[CHOCOLATE DRESSING],0.0
Conut - Tyre,Person_0131,1.0,CLASSIC CHIMNEY,595945.95
Conut - Tyre,Person_0131,1.0,CONUT THE ONE,893918.92
Conut - Tyre,Person_0131,1.0,DELIVERY CHARGE,238378.38
Conut - Tyre,Person_0131,1.0,FULL FAT MILK,0.0
Conut - Tyre,Person_0131,1.0,FULL FAT MILK,0.0
Conut - Tyre,Person_0131,1.0,MOCHA FRAPPE,536351.34
Conut - Tyre,Person_0131,1.0,MOCHA FRAPPE,536351.34
Conut - Tyre,Person_0131,1.0,NO TOPPINGS.,0.0
Conut - Tyre,Person_0131,1.0,NUTELLA SPREAD CHIMNEY.,0.0
Conut - Tyre,Person_0131,1.0,NUTELLA SPREAD CONUT.,0.0
Conut - Tyre,Person_0131,1.0,PRESSED,0.0
Conut - Tyre,Person_0131,1.0,REGULAR.,0.0
Conut - Tyre,Person_0131,1.0,REGULAR.,0.0
Conut - Tyre,Person_0131,1.0,"STRAWBERRY , (R)",0.0
Conut - Tyre,Person_0131,1.0,STRAWBERRY.,178783.78
Conut - Tyre,Person_0131,1.0,WHIPPED CREAM...,0.0
Conut - Tyre,Person_0131,1.0,WHIPPED CREAM...,0.0
Conut - Tyre,Person_0132,1.0,"BROWNIES , (R)",0.0
Conut - Tyre,Person_0132,1.0,CONUT PISTACHIO,1013108.11
Conut - Tyre,Person_0132,1.0,CONUT TRIPLE CHOCOLATE,924378.38
Conut - Tyre,Person_0132,1.0,DELIVERY CHARGE,238378.38
Conut - Tyre,Person_0132,1.0,NO SPREAD..,0.0
Conut - Tyre,Person_0132,1.0,NUTELLA SAUCE . (R),0.0
Conut - Tyre,Person_0132,1.0,PISTACHIO TOPPING,0.0
Conut - Tyre,Person_0132,1.0,"STRAWBERRY , (R)",0.0
Conut - Tyre,Person_0132,1.0,WHITE CHOCOLATE SPREAD CONUT.,0.0
Conut - Tyre,Person_0133,1.0,BROWNIES . (R),0.0
Conut - Tyre,Person_0133,1.0,"CARAMEL SAUCE, (R)",0.0
Conut - Tyre,Person_0133,1.0,"CARAMEL SAUCE, (R)",0.0
Conut - Tyre,Person_0133,1.0,CHIMNEY BERRY MIX,1251486.48
Conut - Tyre,Person_0133,1.0,CHIMNEY THE ONE,1251486.48
Conut - Tyre,Person_0133,1.0,CHIMNEY THE ONE,1251486.48
Conut - Tyre,Person_0133,1.0,CHIMNEY TRIPLE CHOCOLATE,1311081.08
Conut - Tyre,Person_0133,1.0,CLASSIC CHIMNEY,595945.95
Conut - Tyre,Person_0133,1.0,CLASSIC CHIMNEY,595945.95
Conut - Tyre,Person_0133,1.0,DELIVERY CHARGE,238378.38
Conut - Tyre,Person_0133,1.0,NO SPREAD,0.0
Conut - Tyre,Person_0133,1.0,NO SPREAD,0.0
Conut - Tyre,Person_0133,1.0,"NUTELLA SAUCE,(R)",0.0
Conut - Tyre,Person_0133,1.0,"NUTELLA SAUCE,(R)",0.0
Conut - Tyre,Person_0133,1.0,NUTELLA SPREAD CHIMNEY.,0.0
Conut - Tyre,Person_0133,1.0,NUTELLA SPREAD CHIMNEY.,0.0
Conut - Tyre,Person_0133,1.0,NUTELLA SPREAD CHIMNEY.,0.0
Conut - Tyre,Person_0133,1.0,PRESSED,0.0
Conut - Tyre,Person_0133,1.0,PRESSED,0.0
Conut - Tyre,Person_0133,1.0,"STRAWBERRY,(R)",0.0
Conut - Tyre,Person_0133,1.0,"STRAWBERRY,(R)",0.0
Conut - Tyre,Person_0133,1.0,"WHIPPED CREAM   ,",0.0
Conut - Tyre,Person_0133,1.0,WHITE CHOCOLATE SPREAD CHIMNEY.,0.0
Conut - Tyre,Person_0134,1.0,DELIVERY CHARGE,238378.38
Conut - Tyre,Person_0134,1.0,MINI BERRY MIX,507216.22
Conut - Tyre,Person_0134,1.0,MINI PISTACHIO,626405.41
Conut - Tyre,Person_0134,1.0,"NO SPREAD,.",0.0
Conut - Tyre,Person_0134,1.0,"NUTELLA SAUCE ,(R)",0.0
Conut - Tyre,Person_0134,1.0,NUTELLA SPREAD MINI.,0.0
Conut - Tyre,Person_0134,1.0,PISTACHIO TOPPING.,0.0
Conut - Tyre,Person_0134,1.0,STRAWBERRY .(R),0.0
Conut - Tyre,Person_0134,1.0,WHIPPED CREAM  .,0.0
Conut - Tyre,Person_0135,1.0,"CARAMEL SAUCE, (R)",0.0
Conut - Tyre,Person_0135,1.0,CHIMNEY THE ONE,1251486.48
Conut - Tyre,Person_0135,1.0,DELIVERY CHARGE,238378.38
Conut - Tyre,Person_0135,1.0,NUTELLA SAUCE.,178783.78
Conut - Tyre,Person_0135,1.0,NUTELLA SPREAD CHIMNEY.,0.0
Conut - Tyre,Person_0135,1.0,"STRAWBERRY,(R)",0.0
Conut - Tyre,Person_0136,1.0,WATER,79459.45
Conut - Tyre,Person_0137,1.0,CRISPY CREPE . (R),0.0
Conut - Tyre,Person_0137,1.0,"CRUSHED LOTUS , (R)",0.0
Conut - Tyre,Person_0137,1.0,"CRUSHED OREO, (R)",0.0
Conut - Tyre,Person_0137,1.0,ICE CREAM BOWL,595945.95
Conut Jnah,Person_0137,1.0,BROWNIES . (R),0.0
Conut Jnah,Person_0137,1.0,CHIMNEY TRIPLE CHOCOLATE,1311081.08
Conut Jnah,Person_0137,1.0,DELIVERY CHARGE,238378.38
Conut Jnah,Person_0137,1.0,"NUTELLA SAUCE,(R)",0.0
Conut Jnah,Person_0137,1.0,WHITE CHOCOLATE SPREAD CHIMNEY.,0.0
Conut Jnah,Person_0137,1.0,BOSTON CHEESECAKE MINI,0.0
Conut Jnah,Person_0137,1.0,DELIVERY CHARGE,238378.38
Conut Jnah,Person_0137,1.0,PISTACHIO MINI,0.0
Conut Jnah,Person_0137,1.0,THE ONE MINI,0.0
Conut Jnah,Person_0137,1.0,THE SHARING BOX.,1668648.66
Conut Jnah,Person_0137,1.0,TRIPLE CHOCOLATE MINI,0.0
Conut Jnah,Person_0137,1.0,"CARAMEL SAUCE, (R)",0.0
Conut Jnah,Person_0137,1.0,CHIMNEY THE ONE,1251486.48
Conut Jnah,Person_0137,1.0,CLASSIC CHIMNEY,595945.95
Conut Jnah,Person_0137,1.0,DELIVERY CHARGE,238378.38
Conut Jnah,Person_0137,1.0,NUTELLA SPREAD CHIMNEY.,0.0
Conut Jnah,Person_0137,1.0,NUTELLA SPREAD CHIMNEY.,0.0
Conut Jnah,Person_0137,1.0,PRESSED,0.0
Conut Jnah,Person_0137,1.0,"STRAWBERRY,(R)",0.0
Conut Jnah,Person_0137,1.0,ADD ICE CREAM,476756.75
Conut Jnah,Person_0137,1.0,CHIMNEY BERRY MIX,1251486.48
