Branch,Date,num_employees,total_work_hours,avg_work_hours,weekend,work_hours_per_employee,employees_per_work_hour,VAT_11_Percent,Total_Revenue,revenue_share_overall,revenue_rank,revenue_percentile,revenue_tier,vat_to_revenue_ratio,avg_monthly_sales,max_monthly_sales,min_monthly_sales,std_monthly_sales,avg_monthly_growth
Conut - Tyre,2025-12-01,3,25.62,8.540000000000001,0,8.540000000000001,0.1170960187353629,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-02,3,23.93,5.9825,0,7.976666666666667,0.1253656498119515,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-03,3,31.17,10.39,0,10.39,0.0962463907603464,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-04,3,25.5,8.5,0,8.5,0.1176470588235294,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-05,4,31.91,7.9775,0,7.9775,0.1253525540582889,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-06,4,33.45,8.3625,1,8.3625,0.1195814648729446,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-07,3,26.86,8.953333333333333,1,8.953333333333333,0.1116902457185405,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-08,3,35.849999999999994,11.949999999999998,0,11.949999999999998,0.0836820083682008,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-09,3,26.86,8.953333333333333,0,8.953333333333333,0.1116902457185405,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
Conut - Tyre,2025-12-10,3,28.23,7.0575,0,9.41,0.106269925611052,563134562.83,563134562.83,0.2567083357683752,3,0.5,mid,1.0,1035377151.15,2100816729.45,444800810.51,671587339.2033515,0.774729723305176
