Branch,Division,Group,Item,Qty,Total_Amount,branch_total_sales,unit_price,item_sales_share_in_branch,item_rank_in_branch,is_top10_item_in_branch,group_total_sales,group_rank_in_branch,is_top3_group_in_branch,group_sales_share_in_branch
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,AMERICAN COFFEE,8.0,2860540.5,5505805539.98,357567.5625,0.000519549860457,59.0,0,72108134.46000001,4.0,0,0.0130967455963332
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CAPPUCCINO,1.0,417162.16,5505805539.98,417162.16,7.57676886644121e-05,93.0,0,72108134.46000001,4.0,0,0.0130967455963332
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CAFFE LATTE,47.0,19606621.36,5505805539.98,417162.1565957447,0.0035610813381671,33.0,0,72108134.46000001,4.0,0,0.0130967455963332
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CAFE MOCHA,5.0,2536081.12,5505805539.98,507216.2240000001,0.0004606194500667,61.0,0,72108134.46000001,4.0,0,0.0130967455963332
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CARAMEL MACHIATO,7.0,3754459.41,5505805539.98,536351.3442857143,0.0006819091925309,52.0,0,72108134.46000001,4.0,0,0.0130967455963332
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CAFFE AMERICANO,4.0,953513.5,5505805539.98,238378.375,0.000173183286819,80.0,0,72108134.46000001,4.0,0,0.0130967455963332
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,SINGLE ESPRESSO,29.0,6912972.88,5505805539.98,238378.3751724138,0.0012555788303458,46.0,0,72108134.46000001,4.0,0,0.0130967455963332
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,DOUBLE ESPRESSO,55.0,18063783.51,5505805539.98,328432.4274545455,0.0032808611526199,34.0,0,72108134.46000001,4.0,0,0.0130967455963332
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,ESPRESSO MACCHIATO,1.0,328432.43,5505805539.98,328432.43,5.965202141904798e-05,98.0,0,72108134.46000001,4.0,0,0.0130967455963332
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,WHITE MOCHA,6.0,3043297.34,5505805539.98,507216.2233333333,0.0005527433393535,57.0,0,72108134.46000001,4.0,0,0.0130967455963332
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,FLAT WHITE,1.0,388027.02,5505805539.98,388027.02,7.047597616413629e-05,95.0,0,72108134.46000001,4.0,0,0.0130967455963332
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,HOT CHOCOLATE COMBO,20.0,13243243.23,5505805539.98,662162.1615,0.0024053234597254,35.0,0,72108134.46000001,4.0,0,0.0130967455963332
Conut - Tyre,Hot-Coffee Based,Free Dressing,[CARAMEL DRESSING],69.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Hot-Coffee Based,Free Dressing,[CHOCOLATE DRESSING],34.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Hot-Coffee Based,Free Dressing,[NO DRESSING],57.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Hot-Coffee Based,Free Dressing,[STRAWBERRY DRESSING],5.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Hot-Coffee Based,Free Dressing,[SALTED CARAMEL DRESSING],1.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Hot-Coffee Based,Free Whipped Cream,WHIPPED CREAM...,73.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Hot-Coffee Based,Free Whipped Cream,NO WHIPPED CREAM,107.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Hot-Coffee Based,CHIMNEY CAKE OPTIONS,PRESSED,292.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Hot-Coffee Based,CHIMNEY CAKE OPTIONS,REGULAR,9.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Hot-Coffee Based,OPTIONS ICE CREAM,ICE CREAM ON TOP,128.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
