Branch,Division,Group,Item,Qty,Total_Amount,branch_total_sales,unit_price,item_sales_share_in_branch,item_rank_in_branch,is_top10_item_in_branch,group_total_sales,group_rank_in_branch,is_top3_group_in_branch,group_sales_share_in_branch
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,AMERICAN COFFEE,8.0,2860540.5,5505805539.98,357567.5625,0.0005195498604570025,59.0,0,72108134.46000001,4.0,0,0.013096745596333203
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CAPPUCCINO,1.0,417162.16,5505805539.98,417162.16,7.57676886644121e-05,93.0,0,72108134.46000001,4.0,0,0.013096745596333203
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CAFFE LATTE,47.0,19606621.36,5505805539.98,417162.15659574466,0.0035610813381671347,33.0,0,72108134.46000001,4.0,0,0.013096745596333203
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CAFE MOCHA,5.0,2536081.12,5505805539.98,507216.22400000005,0.0004606194500667404,61.0,0,72108134.46000001,4.0,0,0.013096745596333203
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CARAMEL MACHIATO,7.0,3754459.41,5505805539.98,536351.3442857143,0.000681909192530915,52.0,0,72108134.46000001,4.0,0,0.013096745596333203
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CAFFE AMERICANO,4.0,953513.5,5505805539.98,238378.375,0.00017318328681900083,80.0,0,72108134.46000001,4.0,0,0.013096745596333203
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,SINGLE ESPRESSO,29.0,6912972.88,5505805539.98,238378.3751724138,0.0012555788303458882,46.0,0,72108134.46000001,4.0,0,0.013096745596333203
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,DOUBLE ESPRESSO,55.0,18063783.51,5505805539.98,328432.4274545455,0.0032808611526199344,34.0,0,72108134.46000001,4.0,0,0.013096745596333203
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,ESPRESSO MACCHIATO,1.0,328432.43,5505805539.98,328432.43,5.965202141904798e-05,98.0,0,72108134.46000001,4.0,0,0.013096745596333203
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,WHITE MOCHA,6.0,3043297.34,5505805539.98,507216.2233333333,0.0005527433393535825,57.0,0,72108134.46000001,4.0,0,0.013096745596333203
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,FLAT WHITE,1.0,388027.02,5505805539.98,388027.02,7.047597616413629e-05,95.0,0,72108134.46000001,4.0,0,0.013096745596333203
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,HOT CHOCOLATE COMBO,20.0,13243243.23,5505805539.98,662162.1615,0.002405323459725406,35.0,0,72108134.46000001,4.0,0,0.013096745596333203
Conut - Tyre,Hot-Coffee Based,Free Dressing,[CARAMEL DRESSING],69.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Hot-Coffee Based,Free Dressing,[CHOCOLATE DRESSING],34.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Hot-Coffee Based,Free Dressing,[NO DRESSING],57.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Hot-Coffee Based,Free Dressing,[STRAWBERRY DRESSING],5.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Hot-Coffee Based,Free Dressing,[SALTED CARAMEL DRESSING],1.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Hot-Coffee Based,Free Whipped Cream,WHIPPED CREAM...,73.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Hot-Coffee Based,Free Whipped Cream,NO WHIPPED CREAM,107.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Hot-Coffee Based,CHIMNEY CAKE OPTIONS,PRESSED,292.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Hot-Coffee Based,CHIMNEY CAKE OPTIONS,REGULAR,9.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Hot-Coffee Based,OPTIONS ICE CREAM,ICE CREAM ON TOP,128.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Hot-Coffee Based,OPTIONS ICE CREAM,ICE CREAM ON THE SIDE,195.0,0.0,5505805539.98,0.0,0.0,113.0,0,0.0,24.0,0,0.0
Conut - Tyre,Bev Add-ons,Bev Add-ons,"CARAMEL  SAUCE,",2.0,180108.1,5505805539.98,90054.05,3.2712397612330906e-05,105.0,0,450270.26,20.0,0,8.178099584709192e-05
Conut - Tyre,Bev Add-ons,Bev Add-ons,VANILLA SYRUP,3.0,270162.16,5505805539.98,90054.05333333333,4.9068598234761e-05,100.0,0,450270.26,20.0,0,8.178099584709192e-05
Conut - Tyre,Frappes,Frappes,MOCHA FRAPPE,14.0,7508918.82,5505805539.98,536351.3442857143,0.00136381838506183,43.0,0,55070702.01,5.0,0,0.010002296959111283
Conut - Tyre,Frappes,Frappes,CARAMEL MOCHA FRAPPE,10.0,5363513.44,5505805539.98,536351.344,0.0009741559888109459,49.0,0,55070702.01,5.0,0,0.010002296959111283
Conut - Tyre,Frappes,Frappes,HAZELNUT MOCHA FRAPPE,3.0,1609054.03,5505805539.98,536351.3433333334,0.0002922467962800308,72.0,0,55070702.01,5.0,0,0.010002296959111283
Conut - Tyre,Frappes,Frappes,CARAMEL FRAPPE,51.0,27353918.55,5505805539.98,536351.344117647,0.004968195544025582,30.0,0,55070702.01,5.0,0,0.010002296959111283
Conut - Tyre,Frappes,Frappes,VANILLA FRAPPE,2.0,1072702.69,5505805539.98,536351.345,0.0001948311981254421,79.0,0,55070702.01,5.0,0,0.010002296959111283
Conut - Tyre,Frappes,Frappes,WHITE MOCHA FRAPPE,5.0,2681756.72,5505805539.98,536351.344,0.00048707799440547293,60.0,0,55070702.01,5.0,0,0.010002296959111283
Conut - Tyre,Frappes,Frappes,HAZELNUT FRAPPE,2.0,1072702.69,5505805539.98,536351.345,0.0001948311981254421,79.0,0,55070702.01,5.0,0,0.010002296959111283
Conut - Tyre,Frappes,Frappes,MATCHA FRAPPE,3.0,1879216.23,5505805539.98,626405.41,0.00034131540177985046,67.0,0,55070702.01,5.0,0,0.010002296959111283
Conut - Tyre,Frappes,Frappes,SALTED CARAMEL FRAPPE,2.0,1072702.69,5505805539.98,536351.345,0.0001948311981254421,79.0,0,55070702.01,5.0,0,0.010002296959111283
Conut - Tyre,Frappes,Frappes,ESPRESSO FRAPPE,5.0,2238108.08,5505805539.98,447621.61600000004,0.00040649965999491695,64.0,0,55070702.01,5.0,0,0.010002296959111283
Conut - Tyre,Frappes,Frappes,TOFFEE NUT FRAPPE,6.0,3218108.07,5505805539.98,536351.345,0.0005844935943763262,55.0,0,55070702.01,5.0,0,0.010002296959111283
Conut - Tyre,Shakes,Shakes,VANILLA MILKSHAKE,18.0,9654324.2,5505805539.98,536351.3444444444,0.0017534807813127141,39.0,0,54171486.62,6.0,0,0.009838975646095337
Conut - Tyre,Shakes,Shakes,OREO MILKSHAKE,28.0,20023783.93,5505805539.98,715135.1403571429,0.0036368491012983973,31.0,0,54171486.62,6.0,0,0.009838975646095337
Conut - Tyre,Shakes,Shakes,STRAWBERRY MILKSHAKE,12.0,8581621.68,5505805539.98,715135.14,0.0015586496140637712,41.0,0,54171486.62,6.0,0,0.009838975646095337
Conut - Tyre,Shakes,Shakes,MATCHA MILKSHAKE,2.0,1787837.84,5505805539.98,893918.92,0.0003247186677803544,69.0,0,54171486.62,6.0,0,0.009838975646095337
Conut - Tyre,Shakes,Shakes,SALTED CARAMEL MILKSHAKE,4.0,3098918.94,5505805539.98,774729.735,0.000562845693967473,56.0,0,54171486.62,6.0,0,0.009838975646095337
Conut - Tyre,Shakes,Shakes,PISTACHIO MILKSHAKE,8.0,7151351.37,5505805539.98,893918.92125,0.0012988746729376821,44.0,0,54171486.62,6.0,0,0.009838975646095337
Conut - Tyre,Shakes,Shakes,GRANOLA BERRIES MILKSHAKE,1.0,774729.73,5505805539.98,774729.73,0.0001407114225837359,83.0,0,54171486.62,6.0,0,0.009838975646095337
Conut - Tyre,Shakes,Shakes,DOUBLE CHOCOLATE MILKSHAKE,2.0,1549459.47,5505805539.98,774729.735,0.0002814228469837365,73.0,0,54171486.62,6.0,0,0.009838975646095337
Conut - Tyre,Shakes,Shakes,FRUIT LOOPS MILKSHAKE,1.0,774729.73,5505805539.98,774729.73,0.0001407114225837359,83.0,0,54171486.62,6.0,0,0.009838975646095337
